Species,Flowering,Fruit ripening,Seed dispersal,pdf table number,genus name,Color of ripe fruit,Height of mature trees (m),Year first cultivated,Location,Color of ripe fruits,Fruit drop,Location  altitude,Location  elevation,Height at maturity (m),Growth habit  maximum height,Flower color,Flowering habit,Dispersal,Cone ripening,Seed ripening  dispersal,Origin,Color of ripe fruit,Seed size (mm),Diam of ripe fruit (mm),Cleaned  (kg),seeds wt  (lb),Fruit  seed ripening,Location  elevation (m),Tree ht (m),Age (yrs),Interval (yrs)
R. lapponicum,Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dwarf, procumbent shrub; to 0.3 m",Purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. oblongifolium,June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upright, somewhat stoloniferous shrub; to 1.8 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. occidentale,Apr-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rounded, occasionally upright or low shrub; to 1.0-4.6 m","White, pink, pale yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. periclymenoides,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Usually tall, vigorous and much- branched shrub; to 2.7 m & up to 4.5 m in wild","Pale pink, rose, reddish, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. prinophyllum,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upright, well branched shrub; to 2.5 m","Pink, white, rosy red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. prunifolium,July-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tall, rounded-topped; up to 3.6 or 5.5 m in wild","Yellow, orange, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. vaseyi,Apr-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upright shrub to 3.6 m,"White, pink, crimson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. viscosum,July-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Form various: large & upright to dwarf, small tree; from 3-6 m, rounded or straggly shrub, stoloniferous form to 4.6 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. alnifolia,May-June,July-Aug,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. semiintegrifolia,Apr,Aug,NA,2,Amelanchier,NA,NA,NA,Oregon (520 m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May,,NA,2,Amelanchier,NA,NA,NA,"Oregon (1,310 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May,Aug,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. arborea,Mar-June,June-Aug,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. canadensis,Mar-April,May-June,NA,2,Amelanchier,NA,NA,NA,Carolinas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May,June,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. laevis,Mar-June,June-Aug,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. sanguinea,May-June,July-Sept,NA,2,Amelanchier,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. americana,Mar-May,July-Sept,NA,2,Corylus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. avellana,Feb-Apr,Sept-Oct,NA,2,Corylus,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. cornuta,Jan-Feb,Aug-Sept,NA,2,Corylus,NA,NA,NA,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. california,Jan-Feb,Sept-Oct,NA,2,Corylus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. alleghaniensis,Apr-May,Aug-Oct,Sept-Spring,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. davurica,May,Oct,,NA,NA,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. lenta,Apr-May,Aug-Sept,Sept-Nov,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. nana,June-Aug,Aug-Oct,Sept-Mar,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. nigra,Apr-May,May-June,May-June,NA,NA,NA,NA,NA,N part of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. papyrifera,Apr-June,Aug-Sept,Aug-Spring,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pendula,Apr-June,July-Aug,July-Sept,NA,NA,NA,NA,NA,Russia & Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. populifolia,Apr-May,Sept-Oct,Oct to mid-winter,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pubescens,May-June,Aug-Sept,Fall-Winter,NA,NA,NA,NA,NA,Germany & Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pumlia,May-June,Sept-Oct,Oct-Mar,NA,NA,NA,NA,NA,Mid-range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. alata,May-June,Sept-Oct,NA,3,Euonymus,NA,NA,NA,New England & Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. americana,May-June,Sept-Oct,NA,3,Euonymus,NA,NA,NA,Carolinas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. atropurpurea,May-June,Sept-Oct,NA,3,Euonymus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. bungeana,June,Sept-Oct,NA,3,Euonymus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. europaea,May-June,Aug-Nov,NA,3,Euonymus,NA,NA,NA,NE US & Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. hamiltoniana ssp. maackii,June,Oct,NA,3,Euonymus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. obovata,April-June,Aug-Oct,NA,3,Euonymus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. verrucosa,May-June,Aug-Oct,NA,3,Euonymus,NA,NA,NA,NE US & Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. californica,Apr-Sept,Sept-Oct,Nov & Dec,2,Aesculus,NA,NA,NA,S California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. flava,Apr-June,Sept,Sept,2,Aesculus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. glabra,Mar-May,Sept-mid-Oct,Early Sept-late Oct,2,Aesculus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. arguta,Mar-Apr,May-June,,2,Aesculus,NA,NA,NA,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May,Sept-Oct,Sept-Oct,2,Aesculus,NA,NA,NA,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. hippocastanum,Late Apr-early June,Mid-Sept-early Oct,Mid-Sept-mid-Oct,2,Aesculus,NA,NA,NA,Europe & NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. parviflora,July-Aug,Oct-Nov,Oct-Nov,2,Aesculus,NA,NA,NA,"SW Georgia, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. pavia,Mar-Apr,Sept-Oct,Sept-Nov,2,Aesculus,NA,NA,NA,South part of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-June,Sept-Oct,Sept-Nov,2,Aesculus,NA,NA,NA,North part of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. sylvatica,Apr-May,July-Aug,July-Aug,2,Aesculus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May,Sept-Oct,Sept-Oct,2,Aesculus,NA,NA,NA,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. betulus C. caroliniana,Apr-May Mar-June,Aug-Nov Aug-Oct,Nov-spring Nov-spring,2,Carpinus,NA,NA,NA,Europe & NE US NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. laevigata,Apr-May,Sept-Oct,Oct-Dec,2,Celtis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. laevigata var. reticulata,Mar-Apr,Late fall,Fall-winter,2,Celtis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. occidentalis,Apr-May,Sept-Oct,Oct-winter,2,Celtis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. americana,Apr-May,Oct-Nov,Sept-Dec,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. caroliniana,Feb-Mar,Aug-Oct,,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. dipetala,Apr-May,July-Sept,,2,Fraxinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,Perfect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. excelsion,Apr-May,Aug-Sept,Winter-early spring,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Polygamous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. latifolia,Apr-May,Aug-Sept,Sept-Oct,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. nigra,May-June,June-Sept,July-Oct,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Polygamous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. ornus,May-June,,,2,Fraxinus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,Polygamous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. pennsylvanica,Mar-May,Sept-Oct,Oct-spring,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. profunda,Apr-May,Sept-Oct,Oct-Dec,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. quadrangulata,Mar-Apr,June-Oct,,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Perfect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. uhdei,Mar-May,July-Sept,July-Sept,2,Fraxinus,NA,NA,NA,Hawaii,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Nov-Jan,Aug,,2,Fraxinus,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. velutina,Mar-Apr,Sept,,2,Fraxinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Dioecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. auriculiformis,Mar-Apr,Jun-Jul,NA,NA,NA,NA,NA,NA,Florida,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. decurrens,Feb-Mar,,NA,NA,NA,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. farnesiana,Nov-Feb,Mar-Sep,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Mar-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. koa,Jan-Jul,Jun-Jul,NA,NA,NA,NA,NA,NA,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,Feb; ;Jun-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. mangium,Mar-Apr,,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,May-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. mearnsii,Jun & later,Jun-Oct,NA,NA,NA,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,Jun-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. melanoxylon,Feb-Jun May-Jun,Jul-Nov,NA,NA,NA,NA,NA,NA,California Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,Jul-Dec or later,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. nilotica,Almost continuously,All year,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,All year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. julibrissin,June-Aug,Sept-Nov,Sept-Nov,2,Albizia,NA,NA,NA,S US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. lebbeck,Apr-Sept,year,All year,2,Albizia,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. procera,Aug-Sept,Jan-June,All year,2,Albizia,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. saman,Spring-fall,Fall-spring,All year,2,Albizia,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. albicaulis,July,NA,Not shed,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. aristata,July-Aug,NA,Sept-Oct,3,Pinus,NA,NA,NA,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. arizonica,May,NA,Oct,3,Pinus,NA,NA,NA,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. armandii,Apr-May,NA,Aug-Sept,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. attenuata,Apr,NA,Closed cone,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. balfouriana,July-Aug,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. banksiana,May-June,NA,Sept§,3,Pinus,NA,NA,NA,Great Lakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. brutia,Mar-May,NA,Closed conet,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-Mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. canariensis,Apr-May,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. caribaea,Jan-Feb,NA,Sept,3,Pinus,NA,NA,NA,Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,July-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. cembra,May,NA,Not shedt,3,Pinus,NA,NA,NA,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. cembroides,May-June,NA,Nov-Dec,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. clausa,Sept-Dec,NA,Sept§,3,Pinus,NA,NA,NA,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. contorta,,NA,,3,Pinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. contorta,May-June,NA,Fall§,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. latifolia,June-July,NA,Sept-Oct §,3,Pinus,NA,NA,NA,Rocky Mtns,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. murrayana,May-June,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. coulteri,May-June,NA,Octê,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. densiflora,Apr,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. echinata,Mar-Apr,NA,Oct-Nov,3,Pinus,NA,NA,NA,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. edulis,June,NA,Sept-Oct,3,Pinus,NA,NA,NA,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. elliottii,,NA,,3,Pinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. densa,Jan-Apr,NA,Sept-Nov,3,Pinus,NA,NA,NA,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. elliottii,Jan-Feb,NA,Oct,3,Pinus,NA,NA,NA,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. engelmannii,May,NA,Nov-Feb,3,Pinus,NA,NA,NA,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. flexilis,June-July,NA,Sept-Oct,3,Pinus,NA,NA,NA,"California, Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. gerardiana,May-June,NA,Nov,3,Pinus,NA,NA,NA,"India, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. glabra,Feb-Mar,NA,Oct-Nov,3,Pinus,NA,NA,NA,Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. halepensis,May-June,NA,Fall §,3,Pinus,NA,NA,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. heldreichii,May-July,NA,Sept-Oct,3,Pinus,NA,NA,NA,"Italy, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. jeffreyi,June-July,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. kesiya,Jan-Mar,NA,Feb-Mar,3,Pinus,NA,NA,NA,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. koraiensis,May-June,NA,Oct,3,Pinus,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. lambertiana,June-July,NA,Aug-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. leiophylla var. chihuahuana,May-June,NA,Dec-Jan,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. merkusii,Jan,NA,May-Jul,3,Pinus,NA,NA,NA,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. monophylla,May,NA,Sept-Oct,3,Pinus,NA,NA,NA,"California, Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. monticola,June-July,NA,Aug-Sept,3,Pinus,NA,NA,NA,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. mugo,May-June,NA,Nov-Dec,3,Pinus,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. muricata,Apr-June,NA,Midwinter §,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. nigra,May-June,NA,Oct-Nov,3,Pinus,NA,NA,NA,"Ontario, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. palustris,Feb-Mar,NA,Oct-Nov,3,Pinus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
