Species,Height at maturity  (m),Year first cultivated,Minimum seed bearing age (yr),Years between large seedcrops,pdf table number,pdf_page_number,genus name,Height at maturity (m),Years between large seed crops,Cone ripeness Pre ripe color,criteria Ripe color,Years between large crops,Fruit ripeness Preripe color,Minimum seed bearing age ((yr)s),Fruit Preripe color,ripeness criteria Ripe color,Height (m)at maturity,Minimum seed bearing age ((yr)s),Fruit Preripe,color Ripe,X (m),cultivated,age ((yr)s),crops,Ripe fruit color,Diameter,Length,Mature tree height (m),Age at onset seed bearing (yr),Years between cone crops,Mature height (m),Cone length (cm),Color of ripe cones,Age at onset seed bearing,Years large Time,between seedcrops Location,Years between seedcrops
F. grandifolia,NA,1800,NA,NA,3,522,Fagus,21-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-Feb,,NA
,NA,,NA,NA,3,522,Fagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05-Apr,Wisconsin,NA
F. sylvatica,NA,Long ago,NA,NA,3,522,Fagus,20-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,40-80*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-May,Mtn areas,NA
,NA,,NA,NA,3,522,Fagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Sep,Great Britain,NA
,NA,NOT_SELECTED,NA,NA,3,522,Fagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-Mar,,NA
,NA,,NA,NA,3,522,Fagus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-20,,NA
C. alba,NA,1766,NA,NA,3,335,Carya,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-Feb
C. aquatica,NA,1800,NA,NA,3,335,Carya,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-2
C. cordiformis,NA,1689,NA,NA,3,335,Carya,15-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05-Mar
C. glabra,NA,1750,NA,NA,3,335,Carya,24-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-2
C. illinoensis,NA,1766,NA,NA,3,335,Carya,34-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-2
C. laciniosa,NA,1800,NA,NA,3,335,Carya,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-2
C. myristiciformis,NA,NA,NA,NA,3,335,Carya,24-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-Feb
C. ovata,NA,1911,NA,NA,3,335,Carya,21-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-3
C. pallida,NA,NA,NA,NA,3,335,Carya,30-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-Feb
